Benchmark,Implementation,Time,Seq
Binsearch,Pallene,1.428830,1
Binsearch,Pallene,1.432650,2
Binsearch,Pallene,1.433830,3
Binsearch,Pallene,1.425552,4
Binsearch,Pallene,1.432686,5
Binsearch,Pallene,1.426249,6
Binsearch,Pallene,1.425962,7
Binsearch,Pallene,1.429818,8
Binsearch,Pallene,1.432479,9
Binsearch,Pallene,1.430193,10
Binsearch,Pallene,1.440444,11
Binsearch,Pallene,1.431325,12
Binsearch,Pallene,1.453102,13
Binsearch,Pallene,1.428302,14
Binsearch,Pallene,1.428105,15
Binsearch,Pallene,1.431866,16
Binsearch,Pallene,1.433238,17
Binsearch,Pallene,1.429811,18
Binsearch,Pallene,1.429977,19
Binsearch,Pallene,1.425224,20
Binsearch,Pallene,1.433503,21
Binsearch,Pallene,1.421065,22
Binsearch,Pallene,1.440827,23
Binsearch,Pallene,1.428612,24
Binsearch,Pallene,1.517514,25
Binsearch,Pallene,1.430565,26
Binsearch,Pallene,1.429940,27
Binsearch,Pallene,1.428267,28
Binsearch,Pallene,1.468240,29
Binsearch,Pallene,1.429658,30
Binsearch,Pallene,1.462462,31
Binsearch,Pallene,1.438398,32
Binsearch,Pallene,1.432170,33
Binsearch,Pallene,1.434988,34
Binsearch,Pallene,1.434509,35
Binsearch,Pallene,1.427002,36
Binsearch,Pallene,1.434241,37
Binsearch,Pallene,1.488087,38
Binsearch,Pallene,1.426509,39
Binsearch,Pallene,1.432795,40
Binsearch,Pallene,1.430605,41
Binsearch,Pallene,1.428534,42
Binsearch,Lua 5.4,11.055204,1
Binsearch,Lua 5.4,11.084629,2
Binsearch,Lua 5.4,11.056065,3
Binsearch,Lua 5.4,11.050208,4
Binsearch,Lua 5.4,11.065874,5
Binsearch,Lua 5.4,11.152722,6
Binsearch,Lua 5.4,11.050347,7
Binsearch,Lua 5.4,11.039634,8
Binsearch,Lua 5.4,11.078800,9
Binsearch,Lua 5.4,11.075912,10
Binsearch,Lua 5.4,11.050357,11
Binsearch,Lua 5.4,11.096716,12
Binsearch,Lua 5.4,11.070628,13
Binsearch,Lua 5.4,11.106562,14
Binsearch,Lua 5.4,11.049692,15
Binsearch,Lua 5.4,11.048757,16
Binsearch,Lua 5.4,11.040937,17
Binsearch,Lua 5.4,11.045764,18
Binsearch,Lua 5.4,11.046621,19
Binsearch,Lua 5.4,11.158247,20
Binsearch,Lua 5.4,11.073485,21
Binsearch,Lua 5.4,11.046621,22
Binsearch,Lua 5.4,11.054045,23
