Benchmark,Implementation,Time,Seq
Centroid,Pallene,3.673471,1
Centroid,Pallene,3.672719,2
Centroid,Pallene,3.671549,3
Centroid,Pallene,3.675413,4
Centroid,Pallene,3.674501,5
Centroid,Pallene,3.672702,6
Centroid,Pallene,3.648932,7
Centroid,Pallene,3.674362,8
Centroid,Pallene,3.673936,9
Centroid,Pallene,3.689353,10
Centroid,Pallene,3.673031,11
Centroid,Pallene,3.671763,12
Centroid,Pallene,3.674529,13
Centroid,Pallene,3.675335,14
Centroid,Pallene,3.675084,15
Centroid,Pallene,3.674648,16
Centroid,Pallene,3.674789,17
Centroid,Pallene,3.673064,18
Centroid,Pallene,3.674979,19
Centroid,Pallene,3.672211,20
Centroid,Pallene,3.673965,21
Centroid,Pallene,3.674519,22
Centroid,Pallene,3.673051,23
Centroid,Pallene,3.671615,24
Centroid,Pallene,3.672113,25
Centroid,Pallene,3.674840,26
Centroid,Pallene,3.671353,27
Centroid,Pallene,3.674911,28
Centroid,Pallene,3.672843,29
Centroid,Pallene,3.675091,30
Centroid,Pallene,3.734730,31
Centroid,Pallene,3.674416,32
Centroid,Pallene,3.674550,33
Centroid,Pallene,3.675602,34
Centroid,Pallene,3.674707,35
Centroid,Pallene,3.674918,36
Centroid,Pallene,3.676852,37
Centroid,Pallene,3.673728,38
Centroid,Pallene,3.673659,39
Centroid,Pallene,3.674033,40
Centroid,Pallene,3.673941,41
Centroid,Pallene,3.674433,42
Centroid,Lua 5.4,18.620931,1
Centroid,Lua 5.4,18.612841,2
Centroid,Lua 5.4,18.623152,3
Centroid,Lua 5.4,18.613365,4
Centroid,Lua 5.4,18.610748,5
Centroid,Lua 5.4,18.624708,6
Centroid,Lua 5.4,18.611616,7
Centroid,Lua 5.4,18.622880,8
Centroid,Lua 5.4,18.617518,9
Centroid,Lua 5.4,18.647478,10
Centroid,Lua 5.4,18.636531,11
Centroid,Lua 5.4,18.674350,12
Centroid,Lua 5.4,18.620121,13
Centroid,Lua 5.4,18.613613,14
Centroid,Lua 5.4,18.635643,15
Centroid,Lua 5.4,18.621022,16
