N,M,Implementation,Time,Cycles,Instructions,IPC,branch_miss_pct,llc_miss_pct,Seq
100,1024,Pallene,1.447635456,4754133221,17608903480,3.70,0.37,1.37,1
100,1024,LuaJIT 2.1,1.443941324,4739233891,13221805513,2.79,0.33,5.61,1
100,1024,No Check,1.218591803,4006864682,8311912804,2.07,0.98,0.01,1
100,1024,Pallene,1.448201204,4761661654,17608905559,3.70,0.37,3.61,2
100,1024,LuaJIT 2.1,1.441593726,4730783580,13220213457,2.79,0.33,0.65,2
100,1024,No Check,1.227330601,4037659381,8311912238,2.06,0.98,0.22,2
100,1024,Pallene,1.465655718,4822554095,17608904292,3.65,0.37,0.26,3
100,1024,LuaJIT 2.1,1.437758540,4723441946,13220218274,2.80,0.33,0.18,3
100,1024,No Check,1.221302607,4017116303,8311912736,2.07,0.98,0.12,3
100,1024,Pallene,1.451946090,4775906473,17608904438,3.69,0.37,0.18,4
100,1024,LuaJIT 2.1,1.435705389,4714385142,13220414434,2.80,0.33,0.27,4
100,1024,No Check,1.218416782,4005637671,8311912229,2.08,0.98,0.06,4
100,1024,Pallene,1.466114902,4823575039,17608904960,3.65,0.37,0.28,5
100,1024,LuaJIT 2.1,1.436730752,4712754579,13218873055,2.80,0.33,0.25,5
100,1024,No Check,1.229449282,4041303540,8311913649,2.06,0.98,0.09,5
100,1024,Pallene,1.475050793,4851397798,17608905782,3.63,0.38,0.14,6
100,1024,LuaJIT 2.1,1.437117446,4721068884,13220211746,2.80,0.33,0.24,6
100,1024,No Check,1.242366310,4086883311,8311912853,2.03,0.98,0.52,6
100,1024,Pallene,1.477181344,4858796659,17608905962,3.62,0.37,0.51,7
100,1024,LuaJIT 2.1,1.433696133,4713997656,13224367467,2.81,0.33,0.21,7
100,1024,No Check,1.239587031,4077868204,8311914196,2.04,0.98,0.31,7
100,1024,Pallene,1.452747128,4780414099,17608903921,3.68,0.37,0.08,8
100,1024,LuaJIT 2.1,1.434762557,4710945773,13220215890,2.81,0.33,0.31,8
100,1024,No Check,1.222832330,4021128608,8311911803,2.07,0.98,0.36,8
100,1024,Pallene,1.474266508,4850437154,17608904498,3.63,0.37,0.22,9
100,1024,LuaJIT 2.1,1.433796224,4710507506,13220215038,2.81,0.33,0.23,9
100,1024,No Check,1.228454372,4040531241,8311912868,2.06,0.98,0.11,9
100,1024,Pallene,1.458086205,4797638144,17608905747,3.67,0.37,0.50,10
100,1024,LuaJIT 2.1,1.434319094,4712224022,13220214857,2.81,0.33,0.26,10
100,1024,No Check,1.230765017,4047713709,8311913308,2.05,0.98,0.12,10
100,1024,Pallene,1.458065280,4796582789,17608903972,3.67,0.37,0.36,11
100,1024,LuaJIT 2.1,1.436225257,4712846921,13220211629,2.81,0.33,0.28,11
100,1024,No Check,1.234296284,4060583641,8311911176,2.05,0.98,0.27,11
100,1024,Pallene,1.463599962,4814727544,17608903927,3.66,0.37,0.32,12
100,1024,LuaJIT 2.1,1.434322371,4711229156,13221925040,2.81,0.33,0.43,12
100,1024,No Check,1.229102357,4041569379,8311912811,2.06,0.98,0.20,12
100,1024,Pallene,1.459995971,4803642366,17608903815,3.67,0.37,0.20,13
100,1024,LuaJIT 2.1,1.436084205,4713171074,13220214211,2.80,0.33,0.30,13
100,1024,No Check,1.253952466,4122851882,8311910944,2.02,0.98,0.28,13
100,1024,Pallene,1.465915119,4823683797,17608903606,3.65,0.37,0.30,14
100,1024,LuaJIT 2.1,1.433393562,4705197818,13220208332,2.81,0.33,0.19,14
100,1024,No Check,1.238961772,4075119952,8311914076,2.04,0.98,0.29,14
100,1024,Pallene,1.467173452,4826490173,17608904314,3.65,0.37,0.43,15
100,1024,LuaJIT 2.1,1.437493763,4720445479,13220385776,2.80,0.33,0.14,15
100,1024,No Check,1.230100807,4045790837,8311911937,2.05,0.98,0.34,15
100,1024,Pallene,1.462099122,4809641522,17608903948,3.66,0.37,0.39,16
100,1024,LuaJIT 2.1,1.434054521,4709058644,13218511280,2.81,0.33,0.18,16
100,1024,No Check,1.220960334,4016573184,8311911636,2.07,0.98,0.06,16
100,1024,Pallene,1.449789781,4770025239,17608905323,3.69,0.37,0.18,17
100,1024,LuaJIT 2.1,1.431915497,4703881518,13220220497,2.81,0.33,0.18,17
100,1024,No Check,1.226674544,4032578798,8311911671,2.06,0.98,0.10,17
100,1024,Pallene,1.465569135,4821360615,17608903982,3.65,0.37,0.16,18
