Benchmark,Implementation,Time,Seq
Queen,Pallene,1.310184,1
Queen,Pallene,1.307641,2
Queen,Pallene,1.309848,3
Queen,Pallene,1.310304,4
Queen,Pallene,1.354119,5
Queen,Pallene,1.312823,6
Queen,Pallene,1.332528,7
Queen,Pallene,1.309278,8
Queen,Pallene,1.300794,9
Queen,Pallene,1.336888,10
Queen,Pallene,1.306513,11
Queen,Pallene,1.308100,12
Queen,Pallene,1.304315,13
Queen,Pallene,1.303307,14
Queen,Pallene,1.302066,15
Queen,Pallene,1.306313,16
Queen,Pallene,1.304468,17
Queen,Pallene,1.304025,18
Queen,Pallene,1.305746,19
Queen,Pallene,1.316882,20
Queen,Pallene,1.303451,21
Queen,Pallene,1.305560,22
Queen,Pallene,1.347030,23
Queen,Pallene,1.308420,24
Queen,Pallene,1.350283,25
Queen,Pallene,1.303243,26
Queen,Pallene,1.304638,27
Queen,Pallene,1.310584,28
Queen,Pallene,1.302182,29
Queen,Pallene,1.303535,30
Queen,Pallene,1.303534,31
Queen,Pallene,1.310849,32
Queen,Pallene,1.311952,33
Queen,Pallene,1.304878,34
Queen,Pallene,1.308896,35
Queen,Pallene,1.305518,36
Queen,Pallene,1.355313,37
Queen,Pallene,1.301282,38
Queen,Pallene,1.303409,39
Queen,Pallene,1.315674,40
Queen,Pallene,1.300843,41
Queen,Pallene,1.354326,42
Queen,Lua 5.4,14.286590,1
Queen,Lua 5.4,14.328598,2
Queen,Lua 5.4,14.307507,3
Queen,Lua 5.4,14.244755,4
Queen,Lua 5.4,14.335190,5
Queen,Lua 5.4,14.259034,6
Queen,Lua 5.4,14.330563,7
Queen,Lua 5.4,14.240636,8
Queen,Lua 5.4,14.286074,9
Queen,Lua 5.4,14.432760,10
Queen,Lua 5.4,14.284761,11
Queen,Lua 5.4,14.225454,12
Queen,Lua 5.4,14.301764,13
Queen,Lua 5.4,14.300041,14
Queen,Lua 5.4,14.283955,15
Queen,Lua 5.4,14.313789,16
Queen,Lua 5.4,14.285908,17
Queen,Lua 5.4,14.321691,18
Queen,Lua 5.4,14.398982,19
Queen,Lua 5.4,14.320326,20
Queen,Lua 5.4,14.256349,21
Queen,Lua 5.4,14.291889,22
Queen,Lua 5.4,14.330230,23
Queen,Lua 5.4,14.366580,24
Queen,Lua 5.4,14.315434,25
Queen,Lua 5.4,14.260815,26
Queen,Lua 5.4,14.297414,27
Queen,Lua 5.4,14.500495,28
Queen,Lua 5.4,14.255829,29
Queen,Lua 5.4,14.377714,30
Queen,Lua 5.4,14.452108,31
Queen,Lua 5.4,14.300674,32
Queen,Lua 5.4,14.293128,33
Queen,Lua 5.4,14.265912,34
Queen,Lua 5.4,14.393985,35
Queen,Lua 5.4,14.261271,36
Queen,Lua 5.4,14.298250,37
Queen,Lua 5.4,14.446796,38
Queen,Lua 5.4,14.257777,39
Queen,Lua 5.4,14.387545,40
Queen,Lua 5.4,14.386839,41
Queen,Lua 5.4,14.315252,42
Queen,LuaJIT 2.1,1.652009,1
Queen,LuaJIT 2.1,1.651225,2
Queen,LuaJIT 2.1,1.650452,3
Queen,LuaJIT 2.1,1.657243,4
Queen,LuaJIT 2.1,1.651921,5
Queen,LuaJIT 2.1,1.654160,6
Queen,LuaJIT 2.1,1.657262,7
Queen,LuaJIT 2.1,1.654514,8
Queen,LuaJIT 2.1,1.652099,9
Queen,LuaJIT 2.1,1.651557,10
Queen,LuaJIT 2.1,1.650760,11
Queen,LuaJIT 2.1,1.657874,12
Queen,LuaJIT 2.1,1.649772,13
Queen,LuaJIT 2.1,1.652313,14
Queen,LuaJIT 2.1,1.655363,15
Queen,LuaJIT 2.1,1.655576,16
Queen,LuaJIT 2.1,1.653188,17
Queen,LuaJIT 2.1,1.651849,18
Queen,LuaJIT 2.1,1.650182,19
Queen,LuaJIT 2.1,1.658988,20
Queen,LuaJIT 2.1,1.648530,21
Queen,LuaJIT 2.1,1.653000,22
Queen,LuaJIT 2.1,1.654770,23
Queen,LuaJIT 2.1,1.655142,24
Queen,LuaJIT 2.1,1.652842,25
Queen,LuaJIT 2.1,1.652075,26
Queen,LuaJIT 2.1,1.649926,27
Queen,LuaJIT 2.1,1.655346,28
Queen,LuaJIT 2.1,1.649493,29
Queen,LuaJIT 2.1,1.653239,30
Queen,LuaJIT 2.1,1.654240,31
Queen,LuaJIT 2.1,1.655140,32
Queen,LuaJIT 2.1,1.650894,33
Queen,LuaJIT 2.1,1.652528,34
Queen,LuaJIT 2.1,1.651796,35
Queen,LuaJIT 2.1,1.657256,36
Queen,LuaJIT 2.1,1.650848,37
Queen,LuaJIT 2.1,1.652773,38
Queen,LuaJIT 2.1,1.654654,39
Queen,LuaJIT 2.1,1.654298,40
Queen,LuaJIT 2.1,1.652294,41
Queen,LuaJIT 2.1,1.653049,42
Queen,Lua-C API,3.893583,1
Queen,Lua-C API,3.900138,2
Queen,Lua-C API,3.930124,3
Queen,Lua-C API,3.896724,4
Queen,Lua-C API,3.900208,5
Queen,Lua-C API,3.900312,6
Queen,Lua-C API,3.895493,7
Queen,Lua-C API,3.893500,8
Queen,Lua-C API,3.905899,9
Queen,Lua-C API,3.897085,10
Queen,Lua-C API,3.898754,11
Queen,Lua-C API,3.945798,12
Queen,Lua-C API,3.899867,13
Queen,Lua-C API,3.897306,14
Queen,Lua-C API,3.900244,15
Queen,Lua-C API,3.900919,16
Queen,Lua-C API,3.902212,17
Queen,Lua-C API,3.912847,18
Queen,Lua-C API,3.894009,19
